depth_bin,n,mean_depth,mean_resultant,mean_drift,mean_spread,mean_degree,substrate
"(0.479, 0.499]",491,0.4884894759633864,0.665535382112294,0.665535382112227,0.8995193725215486,3.90020366598778,AB_N30
"(0.499, 0.519]",478,0.5085659558856005,0.6489435629604087,0.6489435629602466,0.927490868819321,4.0,AB_N30
"(0.519, 0.539]",439,0.5281876975328165,0.6255674026664402,0.6255674026667156,0.9671335637423691,4.14123006833713,AB_N30
"(0.539, 0.558]",454,0.5484774507760494,0.6098995982655266,0.6098995982657608,0.994263756092687,4.240088105726873,AB_N30
"(0.558, 0.578]",418,0.5681819644584576,0.5946391284840477,0.5946391284839672,1.0207125740940834,4.330143540669856,AB_N30
"(0.578, 0.598]",390,0.5883090521027448,0.5807387769481848,0.5807387769477058,1.045100831383941,4.415384615384616,AB_N30
"(0.598, 0.618]",377,0.6077558742498983,0.5485223730635603,0.5485223730635851,1.1003137940789418,4.607427055702917,AB_N30
"(0.618, 0.638]",355,0.6283369892762137,0.5415242347493402,0.5415242347493662,1.11313477322874,4.647887323943662,AB_N30
"(0.638, 0.658]",354,0.6480922677379748,0.5140634284968357,0.5140634284967426,1.1618282140336251,4.805084745762712,AB_N30
"(0.658, 0.678]",325,0.6679510633477425,0.4954385787684052,0.49543857876888403,1.194310578096411,4.92,AB_N30
"(0.678, 0.698]",286,0.6879717595454488,0.46412470700704667,0.46412470700684455,1.2519273519342888,5.101398601398602,AB_N30
"(0.698, 0.718]",287,0.7081914238761704,0.43657272423849264,0.43657272423863297,1.3061654990109381,5.264808362369338,AB_N30
"(0.718, 0.738]",260,0.7278449916097446,0.39534476379438876,0.3953447637949735,1.4301162136023549,5.503846153846154,AB_N30
"(0.738, 0.758]",251,0.7480810883662441,0.3587847245605089,0.3587847245616315,2.125993124612972,5.745019920318725,AB_N30
"(0.758, 0.778]",223,0.7675180544465072,0.32621172727517095,0.3262117272774298,2.4081596040989455,5.941704035874439,AB_N30
"(0.778, 0.798]",194,0.7876904323318753,0.31257645770730413,0.3125764577092899,2.6049238429404884,6.025773195876289,AB_N30
"(0.798, 0.818]",186,0.8072859948865001,0.26083061128860535,0.2608306112912579,3.155274376779526,6.344086021505376,AB_N30
"(0.818, 0.838]",169,0.8274443658263732,0.25009987537419687,0.2500998753759898,3.2084590262195682,6.408284023668639,AB_N30
"(0.838, 0.858]",154,0.8473629271194978,0.23513121052933292,0.23513121053164038,3.3613906707150205,6.487012987012987,AB_N30
"(0.858, 0.878]",128,0.8673104796883866,0.22403100480115198,0.22403100480403187,3.581019738881881,6.5703125,AB_N30
"(0.878, 0.897]",100,0.8862667136411772,0.16518435812166565,0.16518435812519403,4.434614984148947,6.94,AB_N30
