vertex_id,x,y,degree,k_sum_mod4,K0,K1,K2,K3,perp_x,perp_y,perp_r,k_sum
9861,58.6984848098,14.0710678119,3,2,29,26,7,-16,-0.6984848098,0.0710678119,0.7020909225,46
9862,58.9913780286,13.3639610307,3,2,30,25,7,-16,1.0086219714,-0.6360389693,1.1924193271,46
9863,59.6984848098,14.0710678119,8,3,30,26,7,-16,0.3015151902,0.0710678119,0.3097774101,47
9864,57.9913780286,15.7781745931,5,0,29,26,8,-15,0.0086219714,-0.2218254069,0.2219929043,48
9865,58.6984848098,16.4852813742,4,1,29,27,8,-15,-0.6984848098,0.4852813742,0.8505169262,49
9866,58.9913780286,15.7781745931,4,1,30,26,8,-15,1.0086219714,-0.2218254069,1.0327268721,49
9867,59.6984848098,16.4852813742,5,2,30,27,8,-15,0.3015151902,0.4852813742,0.5713225202,50
9868,57.9913780286,19.1923881554,4,0,29,27,10,-14,0.0086219714,-0.8076118446,0.8076578669,52
9869,58.6984848098,19.8994949366,3,1,29,28,10,-14,-0.6984848098,-0.1005050634,0.7056786077,53
9870,58.9913780286,19.1923881554,3,1,30,27,10,-14,1.0086219714,-0.8076118446,1.2921126780,53
9871,59.6984848098,19.8994949366,8,2,30,28,10,-14,0.3015151902,-0.1005050634,0.3178249167,54
9872,57.9913780286,21.6066017178,5,3,29,28,11,-13,0.0086219714,-0.3933982822,0.3934927532,55
9873,58.6984848098,22.3137084990,3,0,29,29,11,-13,-0.6984848098,0.3137084990,0.7656984079,56
9874,58.9913780286,21.6066017178,4,0,30,28,11,-13,1.0086219714,-0.3933982822,1.0826266621,56
9875,59.6984848098,22.3137084990,7,1,30,29,11,-13,0.3015151902,0.3137084990,0.4351142749,57
9876,57.9913780286,24.0208152802,6,2,29,29,12,-12,0.0086219714,0.0208152802,0.0225302969,58
9877,58.6984848098,24.7279220614,3,3,29,30,12,-12,-0.6984848098,0.7279220614,1.0088367346,59
9878,58.9913780286,24.0208152802,4,3,30,29,12,-12,1.0086219714,0.0208152802,1.0088367346,59
9879,59.6984848098,24.7279220614,5,0,30,30,12,-12,0.3015151902,0.7279220614,0.7878971616,60
9880,57.9913780286,27.4350288425,4,2,29,30,14,-11,0.0086219714,-0.5649711575,0.5650369432,62
9881,58.6984848098,28.1421356237,3,3,29,31,14,-11,-0.6984848098,0.1421356237,0.7127998072,63
9882,58.9913780286,27.4350288425,3,3,30,30,14,-11,1.0086219714,-0.5649711575,1.1560755554,63
9883,59.6984848098,28.1421356237,8,0,30,31,14,-11,0.3015151902,0.1421356237,0.3333375848,64
9884,60.4055915910,-58.9913780286,3,3,30,1,-30,-42,-0.4055915910,1.0086219714,1.0871167462,-41
9885,60.6984848098,-59.6984848098,2,3,31,0,-30,-42,1.3015151902,0.3015151902,1.3359839820,-41
9886,61.4055915910,-58.9913780286,3,0,31,1,-30,-42,0.5944084090,1.0086219714,1.1707431989,-40
9887,59.6984848098,-56.2842712475,5,2,30,1,-28,-41,0.3015151902,-0.2842712475,0.4143929923,-38
9888,60.4055915910,-55.5771644663,4,3,30,2,-28,-41,-0.4055915910,0.4228355337,0.5859133275,-37
9889,60.6984848098,-56.2842712475,4,3,31,1,-28,-41,1.3015151902,-0.2842712475,1.3321981581,-37
