family,extent,offx,offy,k,law,movable_feasible_frac,groups_fail_frac,distinct_frac,destchange,con_med,con_p95,con_max,unc_med,unc_p95,ratio_med,ratio_p95,lambda
silver,14,0.41,0.23,16,DW,1.0000,0.0000,1.000,0.5470,0.0000,2.0830,3.2401,2.2607,4.8368,0.0000,0.4307,1.0000
silver,14,0.41,0.23,32,U,1.0000,0.0000,1.000,0.9429,2.2059,4.8575,6.9901,2.2607,4.8368,0.9758,1.0043,1.0000
silver,14,0.41,0.23,32,DW,1.0000,0.0000,1.000,0.5404,0.0000,2.0830,3.4447,2.2607,4.8368,0.0000,0.4307,1.0000
silver,14,0.05,0.47,2,U,0.0324,0.8529,0.500,0.3723,0.0000,0.0000,0.0000,2.2112,4.8679,0.0000,0.0000,1.0000
silver,14,0.05,0.47,2,DW,0.0324,0.8529,0.583,0.2381,0.0000,0.0000,0.0000,2.2112,4.8679,0.0000,0.0000,1.0000
silver,14,0.05,0.47,4,U,0.2006,0.6765,1.000,0.5720,0.0000,1.8879,2.4235,2.2112,4.8679,0.0000,0.3878,1.0000
silver,14,0.05,0.47,4,DW,0.2006,0.6765,1.000,0.4406,0.0000,1.3162,2.4235,2.2112,4.8679,0.0000,0.2704,1.0000
silver,14,0.05,0.47,6,U,0.4645,0.5000,1.000,0.7656,1.1027,2.1634,4.2275,2.2112,4.8679,0.4987,0.4444,1.0000
silver,14,0.05,0.47,6,DW,0.4645,0.5000,1.000,0.4280,0.0000,1.6560,2.5113,2.2112,4.8679,0.0000,0.3402,1.0000
silver,14,0.05,0.47,8,U,0.5910,0.4118,1.000,0.8113,1.1370,2.4015,4.7246,2.2112,4.8679,0.5142,0.4933,1.0000
silver,14,0.05,0.47,8,DW,0.5910,0.4118,1.000,0.4434,0.0000,1.6560,2.9830,2.2112,4.8679,0.0000,0.3402,1.0000
silver,14,0.05,0.47,12,U,0.9568,0.0588,1.000,0.8796,1.3162,2.7579,5.2314,2.2112,4.8679,0.5952,0.5665,1.0000
silver,14,0.05,0.47,12,DW,0.9568,0.0588,1.000,0.4987,0.0000,1.7393,3.1718,2.2112,4.8679,0.0000,0.3573,1.0000
