family,extent,offx,offy,lambda,policy,movable_feasible_frac,frac_escalated,partner_turnover,abs_con_med,abs_con_p95,abs_con_max,abs_unc_med,abs_unc_p95,abs_unc_max,ratio_med_paired,ratio_p95_paired,reps
silver,18,0.19,0.31,0.25,A,1.0000,0.0395,0.6726,0.0000,1.1597,3.2009,2.1785,4.9483,7.2067,0.0000,0.2344,40
silver,18,0.19,0.31,0.25,B,0.9605,0.0395,0.6323,0.0000,1.1597,3.2009,2.2142,4.9837,6.8904,0.0000,0.2327,40
silver,18,0.19,0.31,0.5,A,1.0000,0.0395,0.6847,0.0000,1.1597,3.2009,2.1785,4.9457,7.1503,0.0000,0.2345,40
silver,18,0.19,0.31,0.5,B,0.9605,0.0395,0.6504,0.0000,1.1597,3.2009,2.2142,4.9625,7.2067,0.0000,0.2337,40
silver,18,0.19,0.31,1.0,A,1.0000,0.0395,0.7117,0.0000,1.1597,2.7065,2.1785,4.9457,7.2067,0.0000,0.2346,40
silver,18,0.19,0.31,1.0,B,0.9605,0.0395,0.6724,0.0000,1.1960,2.7065,2.2142,4.9837,7.1785,0.0000,0.2448,40
silver,18,0.19,0.31,2.0,A,1.0000,0.0395,0.7836,0.0000,1.4428,3.2009,2.1785,4.9457,7.0739,0.0000,0.2876,40
silver,18,0.19,0.31,2.0,B,0.9605,0.0395,0.7487,0.0000,1.4428,3.1960,2.2142,4.9837,7.2067,0.0000,0.2901,40
silver,18,0.37,0.09,0.25,A,1.0000,0.0000,0.6744,0.0000,1.0913,2.4542,2.1785,4.9895,6.6062,0.0000,0.2195,40
silver,18,0.37,0.09,0.25,B,1.0000,0.0000,0.6717,0.0000,1.0913,2.4542,2.1806,4.9569,6.5925,0.0000,0.2211,40
silver,18,0.37,0.09,0.5,A,1.0000,0.0000,0.6889,0.0000,1.0913,2.4542,2.1785,4.9349,6.5925,0.0000,0.2234,40
silver,18,0.37,0.09,0.5,B,1.0000,0.0000,0.6854,0.0000,1.0913,2.4542,2.1785,4.9721,6.5925,0.0000,0.2211,40
silver,18,0.37,0.09,1.0,A,1.0000,0.0000,0.7126,0.0000,1.1580,2.4542,2.1785,4.9199,6.6062,0.0000,0.2311,40
silver,18,0.37,0.09,1.0,B,1.0000,0.0000,0.7077,0.0000,1.1580,2.4542,2.1785,4.9428,6.5925,0.0000,0.2274,40
silver,18,0.37,0.09,2.0,A,1.0000,0.0000,0.7740,0.0000,1.3480,2.5594,2.1785,4.9573,6.5925,0.0000,0.2719,40
silver,18,0.37,0.09,2.0,B,1.0000,0.0000,0.7794,0.0000,1.3480,2.6644,2.1826,4.9125,6.5925,0.0000,0.2744,40
golden,18,0.13,0.37,0.25,A,1.0000,0.0622,0.3141,0.6598,2.0597,3.7563,1.4031,3.4132,5.5796,0.4703,0.5942,40
golden,18,0.13,0.37,0.25,B,0.9378,0.0622,0.2797,0.6944,2.0206,3.7563,1.4664,3.4032,5.5796,0.4735,0.5936,40
