substrate,group,seed,time,threshold,phys_msd,near_return_frac,near_return_n,near_return_mean_perp,near_return_median_perp
AB_N30,depth_low_q25,1,512,1.0,434.4875540857104,0.003058823529411765,13,0.8528118761552197,0.0
AB_N30,depth_low_q25,1,512,2.0,434.4875540857104,0.01223529411764706,52,1.1293309247710446,1.4142135623365477
AB_N30,depth_low_q25,1,512,3.0,434.4875540857104,0.02047058823529412,87,1.3246844783495737,1.4142135623730951
AB_N30,depth_low_q25,1,1024,1.0,804.9606103593239,0.0009411764705882353,4,0.923879532520075,0.923879532520075
AB_N30,depth_low_q25,1,1024,2.0,804.9606103593239,0.005647058823529412,24,1.0351031543012497,0.7653668647757284
AB_N30,depth_low_q25,1,1024,3.0,804.9606103593239,0.010588235294117647,45,1.2658387030901646,1.08239220030269
AB_N30,texture_high_depth_high,1,64,1.0,59.859347049490864,0.012003000750187547,16,0.23096988311847025,0.0
AB_N30,texture_high_depth_high,1,64,2.0,59.859347049490864,0.07876969242310577,105,0.7951658061664045,0.76536686473746
AB_N30,texture_high_depth_high,1,64,3.0,59.859347049490864,0.11627906976744186,155,0.8878194816895475,0.7653668647757284
AB_N30,texture_high_depth_high,1,128,1.0,114.80742515879886,0.006001500375093774,8,0.23096988312523525,0.0
AB_N30,texture_high_depth_high,1,128,2.0,114.80742515879886,0.05326331582895724,71,0.8330947226709375,0.76536686473746
AB_N30,texture_high_depth_high,1,128,3.0,114.80742515879886,0.0690172543135784,92,0.889999581692665,0.7653668647757284
AB_N30,texture_high_depth_high,1,256,1.0,221.2654211361745,0.003000750187546887,4,0.4619397662600375,0.0
AB_N30,texture_high_depth_high,1,256,2.0,221.2654211361745,0.02625656414103526,35,0.8789972986497765,0.76536686473746
AB_N30,texture_high_depth_high,1,256,3.0,221.2654211361745,0.03675918979744936,49,0.9371101276895611,0.7653668647757284
AB_N30,texture_high_depth_high,1,512,1.0,425.05656700427045,0.002250562640660165,3,0.6159196883339605,0.0
AB_N30,texture_high_depth_high,1,512,2.0,425.05656700427045,0.015753938484621154,21,0.8058121916862349,0.76536686473746
AB_N30,texture_high_depth_high,1,512,3.0,425.05656700427045,0.02175543885971493,29,0.8821101250910728,0.7653668647757284
AB_N30,texture_high_depth_high,1,1024,1.0,842.7857574175248,0.0,0,,
AB_N30,texture_high_depth_high,1,1024,2.0,842.7857574175248,0.006751687921980495,9,0.7653668647091547,0.76536686473746
AB_N30,texture_high_depth_high,1,1024,3.0,842.7857574175248,0.011252813203300824,15,0.8921769989389153,0.7653668647757282
AB_N30,texture_low_depth_low,1,64,1.0,58.738164932381835,0.022509578544061302,47,1.2580487251337191,1.84775906504015
AB_N30,texture_low_depth_low,1,64,2.0,58.738164932381835,0.07806513409961686,163,1.138805271237947,1.4142135623
AB_N30,texture_low_depth_low,1,64,3.0,58.738164932381835,0.1307471264367816,273,1.2888239303480424,1.08239220030269
AB_N30,texture_low_depth_low,1,128,1.0,111.59655175641348,0.008620689655172414,18,1.6424525022579113,1.84775906504015
