vertex_id,degree,vertex_type,depth,balance,drift_x,drift_y,boundary_dist,nearest_edge,perp_x,perp_y,cos_alignment,type_rank
925,4,E,0.4133955566458605,0.6532814824381883,-0.24999999999999997,-0.6035533906,0.563726397018224,1,0.627416998,0.7573593129,-0.7071067811837615,4
926,5,D,0.6867164309164873,0.4828427124846191,-2.000000165480742e-11,0.48284271248,0.6997087679425871,6,0.3345237792,-0.5355339059,0.38268343240335834,3
927,4,E,0.4679379748524517,0.6532814824545203,0.6035533906,-0.250000000025,0.6453158195660006,3,-0.372583002,0.1715728753,0.7071067812087616,4
928,3,F,0.2810474219399821,0.8047378541243652,-0.5690355937333333,0.5690355937333333,0.10411971939252451,7,1.3345237792,-0.5355339059,0.9238795325112871,5
929,6,C,0.7626279565094845,0.30795984418131694,-0.2845177968666666,-0.11785113021666667,0.9736063035442508,0,0.627416998,0.1715728753,-0.7071067812246891,2
930,4,E,0.32610906088626057,0.6532814824381883,0.6035533906,-0.25,0.4868031518128656,3,-0.372583002,0.5857864376,0.7071067811837616,4
931,3,F,0.3514934113713336,0.8047378541410318,-0.8047378541333333,3.33333360913457e-11,0.26263238714565973,7,1.3345237792,-0.1213203436,0.3826834324033587,5
932,5,D,0.523151505982927,0.4828427124746191,-0.34142135624,-0.34142135624000003,0.7222390648420053,1,0.627416998,0.5857864376,-0.9238795325112868,3
933,3,F,0.11581093059163816,0.8047378541243652,0.5690355937333333,-0.5690355937333333,0.20164046774133015,2,-0.372583002,1.0,0.9238795325112867,5
934,3,F,0.30656572420161876,0.8047378541243652,-0.8047378541333333,0.0,0.2738975356273423,0,1.3345237792,0.2928932188,-0.3826834323650897,5
935,4,E,0.25498604114555157,0.6532814824381883,-0.24999999999999997,-0.6035533906,0.3395556324520588,1,0.627416998,1.0,-0.7071067811837615,4
936,5,D,0.8492845911066719,0.4828427124846191,-2.000000165480742e-11,0.48284271248,0.9238795325087524,6,0.3345237792,-0.2928932188,0.38268343240335834,3
937,4,E,0.39644316605788665,0.6532814824381883,0.6035533906,-0.25,0.5524612485951488,3,-0.372583002,0.4142135624,0.7071067811837616,4
938,4,E,0.3355744215344165,0.6532814824381883,-0.6035533906,0.25,0.19697429036337644,7,1.3345237792,-0.2928932188,0.7071067811837619,4
939,5,D,0.6291410777330813,0.482842712474619,-0.34142135624,-0.34142135624000003,0.8807517325733987,1,0.627416998,0.4142135624,-0.9238795325112868,3
