substrate,lambda,seed,walkers,alpha_vs_cost_time,alpha_vs_cost_time_r2,alpha_vs_steps,alpha_vs_steps_r2,mean_cost_time_at_1024,msd_phys_at_1024,near_return_frac_d2,near_return_mean_perp_mismatch,final_mean_perp_mismatch
AB_N30,9,7,5000,0.9444062603142112,0.9995556736726026,0.9462113610571582,0.9996011365471529,30503.789307424224,811.2385997616861,0.006,0.9174619188962402,1.085626572561968
AB_N30,9,8,5000,0.9442869978735533,0.9994173696171926,0.9450057154387668,0.9994475299680837,30539.458324231124,815.2027781428365,0.0056,0.8955541441938016,1.085517558946665
AB_N30,9,9,5000,0.9433071273405884,0.9998858977230174,0.9453647698648273,0.9998745310080119,30482.18058430968,839.3364364820719,0.0054,0.9023558918496006,1.07231387242924
AB_N30,10,0,5000,0.9454029873442658,0.9995775936305399,0.9489122619436575,0.9996175832418838,53621.53498287519,817.1195747361342,0.006,1.0761342919316887,1.0781814343495337
AB_N30,10,1,5000,0.9473406198734591,0.9995509560664668,0.9474297124841609,0.9995837791926715,53574.07932218772,803.3213522487126,0.0074,0.9371817507454256,1.0723176066398787
AB_N30,10,2,5000,0.9300772541429954,0.9995276521111615,0.9332360465501629,0.9995418374460278,53591.07466311336,800.4785480225937,0.0066,1.095529396203905,1.082102526543515
AB_N30,10,3,5000,0.9483656580002043,0.9997464246871087,0.950520656562081,0.9997259722536456,53718.371763223804,823.3729818316865,0.0052,0.9731592931131506,1.0909555690166521
AB_N30,10,4,5000,0.9426481680248809,0.999235313309764,0.9455662080537113,0.9992482246800554,53500.368677678605,810.270741161995,0.0068,0.8575386893235527,1.0827436867158347
AB_N30,10,5,5000,0.933648849107126,0.9998064524116332,0.9365951966982367,0.9998149944088189,53555.30581048107,809.0449690271623,0.0048,1.1545652795329848,1.0753901986931356
AB_N30,10,6,5000,0.9512523811591268,0.9998327320399328,0.954395984036009,0.9998093321330435,53560.847811264466,822.9006591335605,0.0062,1.0349523738516593,1.0833424948824366
AB_N30,10,7,5000,0.941015353803512,0.999230191367228,0.9434115572614691,0.999278984342972,53628.135844253775,799.7813863059002,0.0066,0.9162352886152229,1.091060877971368
AB_N30,10,8,5000,0.9372733026066263,0.9993810625783619,0.9402673532129082,0.9993444761432834,53635.58532285735,800.548005295248,0.0076,0.8504358927318851,1.063763695459174
AB_N30,10,9,5000,0.9435328561856795,0.9996532857494217,0.9442398039134221,0.9996452534073088,53519.8765225071,832.6047371358877,0.0064,0.85536301973799,1.0795295290272076
AB_N30,12,0,5000,0.9586026698718262,0.9995835352786369,0.9599138247231557,0.9995428245384981,172118.96753523973,826.4692711658364,0.0068,0.8286089489557631,1.0891407262061037
AB_N30,12,1,5000,0.9401903949086537,0.9999217131953171,0.9414935874380332,0.9999317282617549,172374.82092483723,811.0125739464946,0.0064,1.0941773392165426,1.0913598680017282
AB_N30,12,2,5000,0.9445165956828784,0.9993986952562112,0.9484274545439448,0.9994351832086736,172720.69153281974,809.9647859961768,0.0072,1.0123785432293035,1.0827285578736792
AB_N30,12,3,5000,0.9480496098439478,0.9996152051605511,0.9504411103769472,0.9996571193041248,172318.42326855808,812.3716841764386,0.0068,0.9945518378666942,1.073788615644869
AB_N30,12,4,5000,0.9301122775525763,0.9998595378250176,0.9349996023362336,0.9997943015898069,172533.89805606107,806.8817001107848,0.0082,1.129412928938375,1.102721454015411
AB_N30,12,5,5000,0.9428930326377203,0.9996292059124967,0.9470759555947387,0.9995956541306661,172055.4708551023,803.3313958995461,0.0088,1.096104598312193,1.092139001730781
AB_N30,12,6,5000,0.9479303908396369,0.9993927954359256,0.9499206206268102,0.999420803263221,172473.23903395282,814.2357763975275,0.0072,0.9217681924747674,1.067741652302843
AB_N30,12,7,5000,0.9621499406084465,0.9994397262830667,0.9621558929073204,0.9995045391158721,172339.4776813816,825.1237505894987,0.01,1.0002023105712718,1.0788391885308295
AB_N30,12,8,5000,0.9355345364807238,0.9995226305708534,0.9374635636567601,0.9995378028133057,172667.45229264465,789.7385565865686,0.0082,1.148008630212808,1.0843923577473222
AB_N30,12,9,5000,0.9457579972766785,0.9999138359625671,0.9473476342382127,0.9999053283437701,172438.42565247507,813.7664297311803,0.0082,1.0176194197651018,1.093711634848675
AB_N30,14,0,5000,0.9444222133890648,0.9992112967376242,0.9447014011493602,0.9991775250002001,577325.6563398713,797.6508717184926,0.0064,0.9768137367938006,1.0847288422351191
AB_N30,14,1,5000,0.9491960255690264,0.9997834781867194,0.949297166999001,0.9997961059207542,575638.5774832062,809.7367469776101,0.007,1.0724686009224682,1.09424050476765
AB_N30,14,2,5000,0.9430370417521211,0.999366780055091,0.9434695471393753,0.9993435751343117,576852.6823228837,801.4567948473956,0.0056,1.026560524113888,1.0844684016347097
AB_N30,14,3,5000,0.9453687776119479,0.9999657851129095,0.9452875379658886,0.9999804327524456,576353.6675401579,816.4421835822009,0.0058,0.9507628206942482,1.0765400698241618
AB_N30,14,4,5000,0.9485881697285949,0.9998041042462594,0.9513670761321386,0.9997732647467923,575000.3385148535,830.5419813363271,0.0072,1.0576428420444053,1.0835383395262557
AB_N30,14,5,5000,0.9382281125842281,0.9998313424791655,0.9429603065786266,0.9998160701415564,576177.4231248896,810.3543994447703,0.0092,1.0793045991725416,1.089657202336735
AB_N30,14,6,5000,0.9593374473951051,0.9994589725980957,0.9627947026979309,0.9994172684775767,576623.7364782711,826.7731875581195,0.0054,0.9373539397055288,1.0611891192954868
AB_N30,14,7,5000,0.9445369196419483,0.9992055034299534,0.9445367400125624,0.9992990945930857,575436.6293657373,804.107436000069,0.0076,1.0576753284396976,1.0926886137059766
AB_N30,14,8,5000,0.9555367725525327,0.9997294799756223,0.9565353982509124,0.9997814254345531,576175.0590288437,835.1998538152503,0.006,0.8835822913035759,1.0822202806340429
AB_N30,14,9,5000,0.945234880000195,0.9993389521672803,0.9503608421344354,0.9993475193927044,576796.3177317573,812.5301924159407,0.0078,1.0723378778960069,1.08578931782248
AB_N30,16,0,5000,0.9348858155102743,0.9995131317151651,0.941604785945921,0.9995256727432694,1972350.029790981,815.2013438282592,0.006,0.9025172012557406,1.0838488212821196
AB_N30,16,1,5000,0.9297555496302413,0.9995969863896857,0.9377763491918906,0.9994749364899833,1972815.8174606506,794.0379754149552,0.0092,1.0350008311492576,1.0846435551342049
