substrate,seed,threshold,control,n_near_loops,mean_perp_residue,median_perp_residue,mean_residue_high_depth_range,mean_residue_low_depth_range,mean_residue_high_excursion,mean_residue_low_excursion,mean_residue_high_cum_depth,mean_residue_low_cum_depth,mean_residue_dip_return,mean_residue_no_dip,n_dip_return,n_no_dip,spearman_depth_range_vs_residue,spearman_excursion_vs_residue,spearman_cum_depth_vs_residue,spearman_start_depth_vs_residue,mean_depth_range,mean_depth_excursion,mean_cum_abs_depth_change
AB_N30,1,3.0,SHUFFLED,37,0.9758526346728726,0.9216811878531768,1.1705971391909187,0.8049520646847308,,,,,,,0,0,0.2736979648973134,,,,0.9309845044023288,,
AB_N30,2,1.0,SHUFFLED,16,0.867107321586503,1.081205228724261,1.2893373207842584,0.7272501132493745,,,,,,,0,0,0.30199216944456814,,,,0.9257502440839667,,
AB_N30,2,2.0,SHUFFLED,45,1.0918268035388765,1.2276876692871594,1.2486472508603499,0.9603118722397045,,,,,,,0,0,0.22082988354358282,,,,0.930575160853895,,
AB_N30,2,3.0,SHUFFLED,63,1.0725264384960855,1.0769805851475616,1.1276952961798845,1.1359175169105962,,,,,,,0,0,0.10559558555682111,,,,0.9321629679216612,,
AB_N30,3,1.0,SHUFFLED,11,0.266846806027453,0.0,0.6468930094733146,0.20231958216677356,,,,,,,0,0,0.005794400216170998,,,,0.9312230223988905,,
AB_N30,3,2.0,SHUFFLED,53,1.0713694392720963,1.0519367498927037,1.0313456717659402,1.0786828568535545,,,,,,,0,0,-0.029845362185972897,,,,0.9331620987340672,,
AB_N30,3,3.0,SHUFFLED,72,1.0639410459444527,1.0535963035219658,1.0149634944068728,1.207719821688885,,,,,,,0,0,-0.06307220755534543,,,,0.9300406685176625,,
AB_N30,4,1.0,SHUFFLED,9,0.6946798469238966,0.2227998812012641,0.4018558536693926,1.2328908660682885,,,,,,,0,0,-0.15666989036012804,,,,0.9386023809185267,,
AB_N30,4,2.0,SHUFFLED,40,1.0021106557153303,0.974075251340663,0.9403742641993695,0.9279706480363565,,,,,,,0,0,0.000938526616709545,,,,0.9345461956404975,,
AB_N30,4,3.0,SHUFFLED,57,1.1136055686605586,1.1278643263896788,1.0446682266333847,0.99221910464172,,,,,,,0,0,0.07312685447561355,,,,0.9343665465662887,,
AB_N30,5,1.0,SHUFFLED,8,0.3067517899440252,0.0,0.8747296162956224,0.35227754348047824,,,,,,,0,0,0.07793496079856871,,,,0.9242293179482161,,
AB_N30,5,2.0,SHUFFLED,33,0.9558983835685031,0.9504315236588095,1.034052650015565,0.7881830133598592,,,,,,,0,0,0.06586804499276894,,,,0.9240622370064895,,
AB_N30,5,3.0,SHUFFLED,50,1.065636506792379,0.9896272385820502,1.089945103910171,0.9160819049584464,,,,,,,0,0,0.020427296529349347,,,,0.9262276093737225,,
AB_N30,6,1.0,SHUFFLED,7,0.46696609499443353,0.3543274927051793,,,,,,,,,0,0,0.6300619191619361,,,,0.9282101526610959,,
AB_N30,6,2.0,SHUFFLED,31,1.0133425040981168,1.07577298966071,1.0172357164322394,0.8722219444661071,,,,,,,0,0,0.2031265851932007,,,,0.9309179662298737,,
AB_N30,6,3.0,SHUFFLED,44,0.9658164580882039,0.9049758996951323,0.948090059657427,0.8557072139855563,,,,,,,0,0,0.20856387781766375,,,,0.9345521633930531,,
AB_N30,7,1.0,SHUFFLED,3,0.0,0.0,,,,,,,,,0,0,,,,,0.9233792253324346,,
AB_N30,7,2.0,SHUFFLED,21,0.8649462439055939,0.8687336034402242,1.0513357420825482,0.8994628216649386,,,,,,,0,0,0.13654107773520358,,,,0.9145093829082358,,
AB_N30,7,3.0,SHUFFLED,41,1.0184237168892742,0.9809151768770539,1.1208477339462308,0.8680151544128112,,,,,,,0,0,0.24648224998123835,,,,0.9194474807617045,,
AB_N30,8,1.0,SHUFFLED,7,0.47648483912554224,0.0,,,,,,,,,0,0,0.222717701593687,,,,0.9248274518698135,,
AB_N30,8,2.0,SHUFFLED,29,1.0215690466267604,1.0989010890180717,0.8124232332625521,1.0944289641737153,,,,,,,0,0,-0.13236238423571803,,,,0.9264024392407679,,
AB_N30,8,3.0,SHUFFLED,43,1.0970636711479829,1.1680597221505586,1.215379533950419,1.1837961456086807,,,,,,,0,0,0.10785278510409632,,,,0.9306364040347511,,
AB_N30,9,1.0,SHUFFLED,5,1.00102409043367,1.3774624841670449,,,,,,,,,0,0,0.5642880936468347,,,,0.9320838112080174,,
AB_N30,9,2.0,SHUFFLED,28,0.9327097755000924,0.8592363173270204,1.2476682231176905,0.5807864808692954,,,,,,,0,0,0.4491583455227588,,,,0.9251309540977513,,
AB_N30,9,3.0,SHUFFLED,42,0.9921876190791697,0.9909639940645264,1.180576494778808,0.6959252132258853,,,,,,,0,0,0.29342409164719147,,,,0.9284287682488737,,
Penrose_N24,0,1.0,real,22,0.661922995398956,0.0,0.26967233144999997,0.5393446629243371,1.0786893258346144,0.26967233146216857,0.5393446629121685,0.5393446629224457,0.3236067977489783,1.38688627607748,15,7,-0.1130034373430008,0.3332966550846934,-0.1130034373430008,0.35805583517669914,0.9242172491776344,0.4428200320441633,289.2455984003952
Penrose_N24,0,2.0,real,141,1.0148882391488008,1.1755705045741416,0.9657479473251538,0.9228298887383208,0.8870483297503156,1.2777253300169236,1.0000831689156757,0.9353028880800591,0.9010010502990256,1.168635944095997,81,60,0.05073260906793248,-0.25741122608760797,0.009061204968967031,-0.2597809448018851,0.9144971331036326,0.43816057208973536,287.4228962511196
Penrose_N24,0,3.0,real,181,1.1444003904799995,1.1755705046,1.1052413105289565,1.05971465976979,0.9763028062830607,1.4359845105043838,1.104571201786342,1.081090097063838,1.0280937870574194,1.2879887897671354,100,81,0.06695127954253789,-0.29500952378914785,0.030712592846384508,-0.30506124719887073,0.9155175488195368,0.4268907856923594,287.6150243217877
