model,seed,history,checkpoint,M,struct_access,eff_alt,edge_count,total_weight,n_active
Fixed,79,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,80,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,81,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,82,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,83,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,84,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,85,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,86,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,87,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,88,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,89,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,90,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,91,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,92,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,93,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,94,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,95,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,96,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,97,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,98,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,99,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,100,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,101,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,102,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,103,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,104,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,105,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,106,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,107,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,108,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,109,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,110,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,111,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,112,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,113,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,114,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,115,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,116,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,117,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,118,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,119,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,120,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,121,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,122,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,123,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,124,A,100,0.000000,40,256.000000,144,144.000000,0
Fixed,125,A,100,0.000000,40,256.000000,144,144.000000,0
