depth_bin,n,mean_depth,mean_radial,mean_tangential,mean_abs_tangential,frac_outward,mean_drift_mag,substrate
"(0.0199, 0.0398]",22,0.03037746112484775,-0.7169156991275127,0.033557223180854516,0.3761868428377754,0.0,0.8237773381922189,Penrose_N24
"(0.0398, 0.0597]",46,0.05081083071754519,-0.7104065932086611,-0.007553948386404329,0.3595190606694323,0.0,0.8105414651241984,Penrose_N24
"(0.0597, 0.0796]",66,0.0707769026982205,-0.7152105568030611,-0.005907049927473486,0.3665668496876923,0.0,0.81675394642425,Penrose_N24
"(0.0796, 0.0994]",94,0.08972688318029179,-0.7206367369768462,0.031996159894129614,0.3481532008610382,0.0,0.8148219875252807,Penrose_N24
"(0.0994, 0.119]",145,0.1097745640613057,-0.7329865821467973,-0.014600142796505499,0.3372899166721269,0.0,0.8201719314929818,Penrose_N24
"(0.119, 0.139]",194,0.12991342318965304,-0.737957678679189,-0.00580023068571995,0.3368959830586071,0.0,0.823926910910589,Penrose_N24
"(0.139, 0.159]",251,0.14947106667907747,-0.7466880271463419,0.004131187221855095,0.3164892137598169,0.0,0.8228069078837673,Penrose_N24
"(0.159, 0.179]",337,0.1695210553855001,-0.764363628587705,-0.0002607370509284041,0.29484387606733514,0.0,0.830916897076839,Penrose_N24
"(0.179, 0.199]",415,0.18900466654984618,-0.7809177949108884,0.0012585992417039101,0.2590309170700983,0.0,0.8365931971234009,Penrose_N24
"(0.199, 0.219]",470,0.208982460336937,-0.780195934565559,0.005177681235080236,0.24757667709634956,0.0,0.8307109873579083,Penrose_N24
"(0.219, 0.239]",531,0.22860680650466988,-0.7869844717651945,-0.0021870821889243925,0.23349530942494012,0.0,0.8331516121550937,Penrose_N24
"(0.239, 0.259]",577,0.24848766766884925,-0.7934403109283038,-0.0023404221815371998,0.2155261030968486,0.0,0.8337576848095373,Penrose_N24
"(0.259, 0.278]",594,0.26824051014350675,-0.7902901259531832,0.003725995938107643,0.21025088448465395,0.0,0.8285692968878157,Penrose_N24
"(0.278, 0.298]",654,0.28831794370480346,-0.7970797682179849,0.00016070804785688295,0.18893346503796682,0.0,0.8291331775144938,Penrose_N24
"(0.298, 0.318]",620,0.30802128115973115,-0.7949321875479111,-0.0022134294484768813,0.18414845056336043,0.0,0.8254558465436899,Penrose_N24
"(0.318, 0.338]",632,0.32806689508801873,-0.7906133872252987,-0.004119307117194734,0.17500264718303946,0.0,0.8183979626962183,Penrose_N24
"(0.338, 0.358]",579,0.3480140930355902,-0.789251906616825,0.0016310710800914836,0.16785277004494673,0.0,0.8152712866059245,Penrose_N24
