arm,patch,pair,seed,replicate,budget,S_local_null
regular,0,1,9,1,300,14.00000
regular,0,1,9,1,1000,28.00000
regular,0,2,9,1,100,0.00000
regular,0,2,9,1,300,-24.00000
regular,0,2,9,1,1000,-27.00000
regular,0,0,9,2,100,21.00000
regular,0,0,9,2,300,30.00000
regular,0,0,9,2,1000,32.00000
regular,0,1,9,2,100,14.00000
regular,0,1,9,2,300,26.00000
regular,0,1,9,2,1000,28.00000
regular,0,2,9,2,100,-29.00000
regular,0,2,9,2,300,-29.00000
regular,0,2,9,2,1000,-27.00000
regular,0,0,9,3,100,7.00000
regular,0,0,9,3,300,7.00000
regular,0,0,9,3,1000,32.00000
regular,0,1,9,3,100,4.00000
regular,0,1,9,3,300,4.00000
regular,0,1,9,3,1000,28.00000
regular,0,2,9,3,100,-6.00000
regular,0,2,9,3,300,-6.00000
regular,0,2,9,3,1000,-27.00000
regular,0,0,9,4,100,0.00000
regular,0,0,9,4,300,22.00000
regular,0,0,9,4,1000,32.00000
regular,0,1,9,4,100,0.00000
regular,0,1,9,4,300,14.00000
regular,0,1,9,4,1000,28.00000
regular,0,2,9,4,100,0.00000
regular,0,2,9,4,300,-28.00000
regular,0,2,9,4,1000,-27.00000
regular,0,0,10,0,100,1.00000
regular,0,0,10,0,300,2.00000
regular,0,0,10,0,1000,2.00000
regular,0,1,10,0,100,1.00000
regular,0,1,10,0,300,2.00000
regular,0,1,10,0,1000,2.00000
regular,0,2,10,0,100,10.00000
regular,0,2,10,0,300,32.00000
regular,0,2,10,0,1000,34.00000
regular,0,0,10,1,100,-1.00000
regular,0,0,10,1,300,2.00000
regular,0,0,10,1,1000,2.00000
regular,0,1,10,1,100,-1.00000
regular,0,1,10,1,300,2.00000
regular,0,1,10,1,1000,2.00000
regular,0,2,10,1,100,8.00000
regular,0,2,10,1,300,27.00000
regular,0,2,10,1,1000,34.00000
regular,0,0,10,2,100,0.00000
regular,0,0,10,2,300,1.00000
regular,0,0,10,2,1000,2.00000
