depth_bin,n,mean_depth,mean_mismatch,median_mismatch,std_mismatch,mean_max_mismatch,mean_depth_diff,mean_degree,substrate
"(0.796, 0.815]",353,0.8054616897191372,0.9999999999995338,1.0000000000041056,1.692909510291048e-11,1.0000000000224896,0.3791132616426679,5.373937677053824,Penrose_N24
"(0.815, 0.835]",322,0.8253985954877141,1.0000000000006453,1.0000000000041056,1.5681071892476084e-11,1.0000000000223541,0.40346382051623797,5.3602484472049685,Penrose_N24
"(0.835, 0.855]",280,0.8453428536307133,1.000000000000063,1.0000000000024567,1.652853697740678e-11,1.0000000000220917,0.4282683214496233,5.303571428571429,Penrose_N24
"(0.855, 0.875]",256,0.8651126709026273,0.9999999999999958,1.0000000000024567,1.7090236277314604e-11,1.0000000000224263,0.45094637415303807,5.2265625,Penrose_N24
"(0.875, 0.895]",215,0.8852279935681074,0.9999999999997121,1.0000000000024567,1.7231362372051143e-11,1.0000000000222238,0.4743734625122689,5.162790697674419,Penrose_N24
"(0.895, 0.915]",169,0.904962967194993,0.9999999999988709,1.0000000000024567,1.668637380477817e-11,1.0000000000220632,0.4947248968798563,5.076923076923077,Penrose_N24
"(0.915, 0.935]",138,0.924243359928803,0.9999999999997343,1.0000000000024567,1.5115707232705877e-11,1.0000000000212041,0.5130848240030528,4.978260869565218,Penrose_N24
"(0.935, 0.955]",105,0.9444830813895123,1.000000000003486,1.000000000014817,1.4472932386339392e-11,1.0000000000225764,0.5342524404550499,4.933333333333334,Penrose_N24
"(0.955, 0.975]",66,0.9640860110820444,0.9999999999970773,1.0000000000024565,1.825620817698154e-11,1.0000000000211393,0.5524247194302501,4.909090909090909,Penrose_N24
"(0.975, 0.994]",28,0.983455640460486,0.9999999999973889,1.0000000000024565,1.697183291165385e-11,1.0000000000224882,0.5719963042143303,4.964285714285714,Penrose_N24
