substrate,seed,linger_n,n_walkers,mean_start_depth,mean_disturb_depth,mean_descend_depth,mean_linger_end_depth,mean_ascend_depth,mean_residue_after_disturb,mean_residue_after_descend,mean_residue_linger_start,mean_residue_linger_end,mean_residue_after_ascend,median_residue_after_ascend,std_residue_after_ascend,mean_phys_dist_final,frac_near_return_2,frac_near_return_3
AB_N30,8,0,5000,0.4853095201629799,0.47921121754097423,0.6069522740547134,0.6069522740547134,0.2653208832263388,1.0368593709245923,0.917264268394644,0.917264268394644,0.917264268394644,1.2469207352778877,1.2544294036877324,0.541202779528012,12.240899001822154,0.0302,0.0426
AB_N30,8,5,5000,0.4853095201629799,0.48567308278642723,0.6074913751531783,0.6083354354895822,0.2683877605274427,1.0353931826875296,0.9203027388118331,0.9203027388118331,0.9297930288848812,1.2450621090513225,1.2426406872,0.5398523187020733,12.267459900286738,0.0176,0.0448
AB_N30,8,10,5000,0.4853095201629799,0.48461345266910894,0.6097205818644943,0.6027464935115959,0.2664312026566417,1.0300038208249978,0.9143719049291456,0.9143719049291456,0.9198980284407436,1.2508675973974808,1.2544294037486858,0.5394861310334561,12.393367261371132,0.0246,0.0384
AB_N30,8,20,5000,0.4853095201629799,0.4813467790577517,0.6065733715609063,0.6098856673106431,0.27078347897307997,1.0268911518083104,0.9261120507321994,0.9261120507321994,0.9216320525542901,1.240755609993891,1.2278338450377757,0.5383214097554099,12.25472148044823,0.0292,0.0402
AB_N30,8,40,5000,0.4853095201629799,0.4842404273089047,0.6061482168942093,0.6080199696425761,0.26788756571099975,1.02190005572782,0.916917075303785,0.916917075303785,0.9154011822211058,1.2442214829211127,1.2417986294568317,0.5364639335229868,12.612918999657337,0.026,0.044
AB_N30,8,80,5000,0.4853095201629799,0.48348881663342674,0.6103281911413609,0.6036111258344783,0.27260073235439647,1.0224073226067656,0.9171848606631946,0.9171848606631946,0.9303387074199759,1.2383491331903873,1.2278338449841697,0.5389459148391096,12.79217558008947,0.0306,0.0424
AB_N30,8,160,5000,0.4853095201629799,0.48252200260485395,0.6086064205470794,0.6038294497674511,0.2609133064749147,1.0372470974470356,0.9152867174617079,0.9152867174617079,0.930735547383198,1.2396135743362378,1.2278338450041495,0.5388682445190351,13.473726595003294,0.0244,0.034
AB_N30,9,0,5000,0.4848494406686599,0.47914922343286565,0.6116848402001822,0.6116848402001822,0.2700337586050881,1.0285794183356851,0.9232945314286255,0.9232945314286255,0.9232945314286255,1.250224489228219,1.2544294036633028,0.5334767833586332,12.220054988162296,0.0272,0.0412
AB_N30,9,5,5000,0.4848494406686599,0.47544008972817536,0.6063577999310416,0.6125413677548659,0.26376930205012866,1.0286108478930605,0.9231630025549435,0.9231630025549435,0.9144929503510987,1.2493238167620988,1.2446695926198523,0.5404727685075718,12.07663291758686,0.022,0.0466
AB_N30,9,10,5000,0.4848494406686599,0.48062039877094537,0.6103407288255347,0.6042497235679328,0.26460978575243116,1.022656861847782,0.9146887166246319,0.9146887166246319,0.9212403616845247,1.2516262883031575,1.2720779386178402,0.5380251667261227,12.253009604237342,0.0264,0.04
