descent_steps,ascent_steps,asymmetry,dip_timing,dip_sharpness,excursion,min_depth,recovery,descent_smoothness,ascent_smoothness,start_depth,final_depth,perp_residue,phys_dist,walker_id,substrate,seed,threshold
104,920,0.796875,0.1015625,0.9912195121951219,0.34297760801903376,0.02243055423700846,1.1784468291155377,-88.11187589155912,-760.8248807524839,0.3654081622560422,0.426611428865849,1.9021130325213538,1.1755705045520217,180,Penrose_N24,0,3.0
382,642,0.25390625,0.373046875,0.9736585365853658,0.5077071601802466,0.05870954920068028,0.9999999999980304,-239.41919637297582,-438.6205742842417,0.5664167093809269,0.5664167093809269,0.0,0.0,204,Penrose_N24,0,3.0
179,845,0.650390625,0.1748046875,0.9775609756097561,0.1720270438674859,0.04529789292532771,2.0,-309.6993459633758,-379.6371961100807,0.21732493679281362,0.7661090349003306,1.3281310260941614,2.4972120409318856,450,Penrose_N24,0,3.0
283,741,0.447265625,0.2763671875,0.9639024390243902,0.567055427917498,0.02268706646068419,1.4775508760680975,-174.95547231312435,-292.13003071251086,0.5897424943781822,0.8605403107608307,0.6180339887493117,1.6180339887730117,564,Penrose_N24,0,3.0
356,668,0.3046875,0.34765625,0.9648780487804878,0.21317895542098309,0.10313755893836496,0.4369467993571067,-561.1593472534471,-2414.110832495032,0.31631651435934804,0.1962854212002918,2.526255333747252,2.935648818984872,602,Penrose_N24,0,3.0
878,146,-0.71484375,0.857421875,0.9834146341463414,0.4147401928592048,0.06724746694122907,1.312268326585439,-692.1675376845219,-86.29616142676959,0.4819876598004339,0.6114978857936122,1.3281310261304726,2.497212040872385,604,Penrose_N24,0,3.0
706,318,-0.37890625,0.689453125,0.9239024390243903,0.620010093180403,0.06883627522411673,0.8154146363345525,-385.70309211635436,-211.32157161165927,0.6888463684045197,0.5744015798793825,1.1755705045741416,1.9021130326164637,707,Penrose_N24,0,3.0
351,673,0.314453125,0.3427734375,0.9736585365853658,0.6417612103174002,5.881961584464079e-13,0.7061134037754719,-178.797014695851,-485.6037542559029,0.6417612103179884,0.4531561926295803,1.3281310261304724,2.4972120408723812,736,Penrose_N24,0,3.0
143,881,0.720703125,0.1396484375,0.96,0.6200848466895137,0.035035525979381976,0.9999999999983874,-79.35921223272882,-475.25658026858315,0.6551203726688957,0.6551203726688957,0.0,0.0,807,Penrose_N24,0,3.0
43,981,0.916015625,0.0419921875,0.9912195121951219,0.5946947737798045,0.02198204950112992,0.9999999999983185,-23.10905962553369,-520.1597520982748,0.6166768232809344,0.6166768232809344,0.0,0.0,956,Penrose_N24,0,3.0
352,672,0.3125,0.34375,0.9931707317073171,0.3850127075277656,0.06761277156009515,1.8098120516634313,-312.22322626323233,-327.9354393978346,0.45262547908786077,0.764413409689223,1.1755705045741416,1.9021130326164568,1000,Penrose_N24,0,3.0
561,463,-0.095703125,0.5478515625,0.9639024390243902,0.5988282925543218,2.031039822647518e-05,0.7456621635650328,-306.1100671196625,-343.380071503749,0.5988486029525483,0.44654391062898213,1.1755705045366651,1.9021130325709892,1030,Penrose_N24,0,3.0
449,575,0.123046875,0.4384765625,0.968780487804878,0.3829875945004385,0.08500903179934738,1.771321426417401,-368.0372117742263,-268.31978618882954,0.4679966262997859,0.7634031639918046,1.1755705045366651,1.9021130325709907,1252,Penrose_N24,0,3.0
322,702,0.37109375,0.314453125,0.9882926829268293,0.3582976091689748,0.043675087951890346,1.6909738149323816,-309.40178270241574,-401.00885740928874,0.40197269712086514,0.6495469630111941,1.1755705046,1.902113032599999,1581,Penrose_N24,0,3.0
317,707,0.380859375,0.3095703125,0.9590243902439024,0.4655996632532504,0.10036126829002678,0.5957270876101071,-217.30191510152522,-825.7709512203185,0.5659609315432772,0.37773159967272796,0.6180339887493116,1.6180339887730115,1768,Penrose_N24,0,3.0
536,488,-0.046875,0.5234375,0.9951219512195122,0.17649350616514048,0.0946591095666427,0.21425932462245867,-1007.1722560211152,-4162.162343171963,0.2711526157317832,0.1324744889980497,2.5262553337685234,2.935648818995205,1809,Penrose_N24,0,3.0
379,645,0.259765625,0.3701171875,0.9160975609756098,0.6529266568720106,0.10493949589920015,0.9999999999984684,-196.12688500493016,-324.708304147409,0.7578661527712107,0.7578661527712107,0.0,0.0,2000,Penrose_N24,0,3.0
380,644,0.2578125,0.37109375,0.9463414634146341,0.6409510769601066,0.035035525979381976,0.9999999999984398,-197.6444579192187,-320.54856679971255,0.6759866029394885,0.6759866029394885,0.0,0.0,2310,Penrose_N24,0,3.0
499,525,0.025390625,0.4873046875,0.9970731707317073,0.3914582294706359,0.02243055423700846,1.0866309447244202,-412.09634443889,-390.72902103466646,0.41388878370764437,0.447801179947921,1.9021130326,1.1755705046,2364,Penrose_N24,0,3.0
225,799,0.560546875,0.2197265625,0.9892682926829268,0.23385882186608387,0.061202780489741704,0.7884174012067566,-334.8789633487626,-1429.0348139125147,0.29506160235582557,0.2455811450754618,2.2360679775213304,2.2360679775109737,2365,Penrose_N24,0,3.0
