substrate,subset,perturbation,replicate,feature_set,auc
Penrose_N24,full_patch,rewire,9,weave,0.5906650850684618
Penrose_N24,full_patch,rewire,9,hybrid,0.6253442045579474
Penrose_N24,full_patch,shuffle,0,address,0.5014093449349025
Penrose_N24,full_patch,shuffle,0,weave,0.9431996880230742
Penrose_N24,full_patch,shuffle,0,hybrid,0.9433940623616796
Penrose_N24,full_patch,shuffle,1,address,0.4783160406244114
Penrose_N24,full_patch,shuffle,1,weave,0.9437175611626449
Penrose_N24,full_patch,shuffle,1,hybrid,0.9432743902902246
Penrose_N24,full_patch,shuffle,2,address,0.5060770359816938
Penrose_N24,full_patch,shuffle,2,weave,0.9437352434643376
Penrose_N24,full_patch,shuffle,2,hybrid,0.9436032374417019
Penrose_N24,full_patch,shuffle,3,address,0.4890142260884417
Penrose_N24,full_patch,shuffle,3,weave,0.9432610303289459
Penrose_N24,full_patch,shuffle,3,hybrid,0.9420216537903128
Penrose_N24,full_patch,shuffle,4,address,0.5097414201324487
Penrose_N24,full_patch,shuffle,4,weave,0.9432123712542881
Penrose_N24,full_patch,shuffle,4,hybrid,0.9429803401620781
Penrose_N24,full_patch,shuffle,5,address,0.48377105252656505
Penrose_N24,full_patch,shuffle,5,weave,0.9438797362481683
Penrose_N24,full_patch,shuffle,5,hybrid,0.9435292773946222
Penrose_N24,full_patch,shuffle,6,address,0.5064545640378308
Penrose_N24,full_patch,shuffle,6,weave,0.9441294933020751
Penrose_N24,full_patch,shuffle,6,hybrid,0.9422588149330137
Penrose_N24,full_patch,shuffle,7,address,0.49918154956165794
Penrose_N24,full_patch,shuffle,7,weave,0.9436720456082882
Penrose_N24,full_patch,shuffle,7,hybrid,0.9431037233338884
Penrose_N24,full_patch,shuffle,8,address,0.4776700472025769
Penrose_N24,full_patch,shuffle,8,weave,0.9435524171968372
Penrose_N24,full_patch,shuffle,8,hybrid,0.9433046030131165
Penrose_N24,full_patch,shuffle,9,address,0.5110012732130418
Penrose_N24,full_patch,shuffle,9,weave,0.9436860386396275
Penrose_N24,full_patch,shuffle,9,hybrid,0.942983963942425
