vertex_id,degree,vertex_type,depth,balance_mag,balance_angle,gap_angle_rad,gap_angle_deg,gap_direction,cos_gap_alignment,n_oversized_gaps,perp_x,perp_y
12908,3,F,0.17806635865789244,0.8047378541243652,-2.356194490192345,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.3639610307,0.6360389693
12909,3,F,0.37456922387543423,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.6568542495
12910,4,E,0.5626314085742363,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.6568542495,-0.6568542495
12911,4,E,0.501043059781753,0.6532814824381883,0.3926990816987241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.3431457505,-0.2426406871
12912,5,D,0.7784471683007976,0.482842712474619,2.356194490192345,3.141592653589793,180.0,-0.7853981633974483,-1.0,1,0.6568542495,-0.2426406871
12913,4,E,0.23983153381453148,0.6532814824381883,-2.748893571891069,3.9269908169872414,225.0,0.3926990816987242,-1.0,1,1.3639610307,0.4644660941
12914,3,F,0.29576937814426485,0.8047378541243649,0.7853981633681589,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.8284271247
12915,4,E,0.4558783244518785,0.6532814824150912,1.9634954085082654,3.926990816916531,224.99999999594857,-1.178097245131528,-1.0,1,0.6568542495,-0.8284271247
12916,3,F,0.46254297390297516,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.4142135624
12917,4,E,0.7016919646690055,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.6568542495,-0.4142135624
12918,4,E,0.511736081224862,0.6532814824381883,0.3926990816987241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.3431457505,-0.0
12919,6,C,0.8037112244176087,0.307959844170429,2.748893571891069,2.356194490192345,135.0,-0.3926990816987242,-1.0,1,0.6568542495,-0.0
12920,3,F,0.14916391911108673,0.8047378541243652,-2.356194490192345,4.71238898038469,270.0,0.7853981633974483,-1.0,1,1.3639610307,0.7071067812
12921,3,F,0.4036492456498658,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.5857864376
12922,4,E,0.6053332402444387,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.6568542495,-0.5857864376
12923,4,E,0.5097952108128839,0.6532814824545203,0.39269908170907947,3.926990817057952,225.0000000040514,-2.7488935718557137,-1.0,1,-0.3431457505,-0.1715728753
12924,5,D,0.7989319409156075,0.48284271248876115,2.356194490192345,3.1415926536605037,180.00000000405143,-0.7853981634328036,-1.0,1,0.6568542495,-0.1715728753
12925,4,E,0.21573447251821531,0.6532814824381883,-2.748893571891069,3.9269908169872414,225.0,0.3926990816987242,-1.0,1,1.3639610307,0.5355339059
12926,3,F,0.3297160823885591,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.7573593129
12927,4,E,0.500592191440181,0.6532814824381883,1.9634954084936207,3.9269908169872414,225.0,-1.1780972450961722,-1.0,1,0.6568542495,-0.7573593129
12928,4,E,0.48127853627184625,0.6532814824381883,0.3926990816987241,3.9269908169872414,225.0,-2.7488935718910694,-1.0,1,-0.3431457505,-0.3431457505
12929,5,D,0.7369418581867155,0.482842712474619,2.356194490192345,3.141592653589793,180.0,-0.7853981633974483,-1.0,1,0.6568542495,-0.3431457505
12930,5,D,0.5045348679677154,0.4828427124746191,0.0,3.141592653589793,180.0,3.141592653589793,-1.0,1,-0.3431457505,0.0710678119
12931,5,D,0.7864272346441405,0.4828427124746191,3.141592653589793,3.141592653589793,180.0,0.0,-1.0,1,0.6568542495,0.0710678119
12932,3,F,0.24514969777074558,0.8047378541243652,0.7853981633974483,4.71238898038469,270.0,-2.356194490192345,-1.0,1,-0.3431457505,-0.9289321881
