substrate,seed,threshold,walker_id,phys_return_dist,perp_residue,signed_perp_x,signed_perp_y,loop_area,start_depth,min_depth_visited,mean_depth_visited,visited_shallow,start_texture
AB_N30,0,1.0,17054,0.0,0.0,2.220446049250313e-16,-8.881784197001252e-16,115.81118318230818,0.1466195320654352,0.010826256818755597,0.4781007814665764,True,-0.7120184531486505
AB_N30,0,1.0,17182,0.7653668647757284,1.847759064947762,-1.7071067810999998,-0.7071067811999999,85.95153313765388,0.3578806755066384,0.04434375573837401,0.4799580810811103,True,0.7556016351908214
AB_N30,0,1.0,18401,0.0,0.0,2.220446049250313e-16,0.0,19.121320344218645,0.30884913777312484,0.010826256818755597,0.48495075681229327,True,-0.7120184530613121
AB_N30,0,1.0,18726,0.0,0.0,-6.661338147750939e-16,-2.220446049250313e-16,156.09545442820092,0.43383923654487255,0.030221374591867023,0.4694836842983048,True,-0.6601627276640926
AB_N30,0,1.0,19987,0.0,0.0,-1.1102230246251565e-15,5.551115123125783e-16,137.24621202456956,0.25621691000530766,0.03652773358363637,0.4802879028742515,True,-0.6601627276640926
AB_N30,0,2.0,270,0.0,0.0,0.0,1.1102230246251565e-16,136.78174593039873,0.14971821061479695,0.0521053061086475,0.4785340140450202,True,-0.7120184531486505
AB_N30,0,2.0,358,1.4142135623730945,1.4142135623730951,1.0000000000000004,-0.9999999999999998,94.24011537023208,0.16240446135740993,0.0341858210832191,0.48035636268755916,True,-0.7120184530613121
AB_N30,0,2.0,521,0.0,0.0,8.881784197001252e-16,2.220446049250313e-16,129.58935777537783,0.15153387159242437,0.042983235987749,0.48579958235926785,True,3.217254477571213
AB_N30,0,2.0,540,1.8477590649477655,0.7653668647757284,-0.2928932189000003,0.7071067812000007,18.424621201313812,0.45191393202411145,0.042983235987749,0.48866463636006485,True,0.940010438245968
AB_N30,0,2.0,588,0.0,0.0,2.220446049250313e-16,-4.440892098500626e-16,29.778174593822257,0.4164692453883334,0.010522931577144679,0.4693384768429218,True,-0.6601627276640926
AB_N30,0,2.0,862,1.8477590650401505,0.76536686473746,-0.7071067812,0.2928932187999995,29.152543263776124,0.5082148243625144,0.06693878502985962,0.48061423475178644,True,-0.6601627276640926
AB_N30,0,2.0,957,0.0,0.0,2.220446049250313e-16,0.0,27.970562749124923,0.25604980982671244,0.04574436631360135,0.47324632310912407,True,1.28094180564957
AB_N30,0,2.0,1527,1.847759065040149,0.76536686473746,-0.7071067811999999,-0.29289321879999974,114.87184335334479,0.37188634250123453,0.029124741941843113,0.48754640068863137,True,-0.7120184530613121
AB_N30,0,2.0,1681,1.4142135624000005,1.4142135624,-1.4142135623999996,0.0,83.80508652751439,0.67822755899522,0.032775332353835784,0.4787543764475688,True,-0.6601627276640926
AB_N30,0,2.0,2284,1.8477590650401472,0.76536686473746,0.7071067811999998,-0.2928932188000013,78.29467888655913,0.4524990049040104,0.02604649306590201,0.4925085114544597,True,-0.6601627276640926
AB_N30,0,2.0,2394,0.7653668647374569,1.84775906504015,0.7071067812000014,-1.707106781200001,24.202795794272603,0.42628013858681724,0.024188640960717378,0.47883908527696534,True,-0.6601627276640926
AB_N30,0,2.0,2832,1.4142135623730951,1.4142135623730951,-1.0,-0.9999999999999999,29.47056274863371,0.5166310962101816,0.06505238175392014,0.480957654246671,True,-0.6601627276640926
AB_N30,0,2.0,2868,1.4142135623730951,1.4142135623730951,-0.9999999999999997,1.0,149.21067811869932,0.4624950774864558,0.02682482733220537,0.4837695073849735,True,0.8964860929806059
AB_N30,0,2.0,3465,1.8477590649477607,0.7653668647757284,0.7071067812000004,0.29289321890000064,102.55813485506678,0.5734134507877128,0.01847019215471324,0.4769128776133411,True,-0.6601627276640926
AB_N30,0,2.0,3472,1.8477590650401536,0.76536686473746,0.7071067811999998,0.29289321879999974,216.17692988123667,0.5303848588430813,0.01849098828023754,0.4787651329829963,True,-0.6601627276640926
AB_N30,0,2.0,3539,0.7653668647374647,1.84775906504015,-0.7071067811999989,-1.707106781200001,168.13529932099686,0.26716169676590396,0.007552027041436871,0.48017327413891175,True,-0.7120184531486505
AB_N30,0,2.0,3889,1.8477590650401468,0.76536686473746,0.2928932187999991,-0.7071067811999999,38.617009357827776,0.475037158282984,0.0076016816649838725,0.48010942699063364,True,-0.6784820291694312
AB_N30,0,2.0,3918,1.84775906504015,0.76536686473746,0.29289321879999974,-0.7071067811999999,179.08504678909105,0.15882827975682068,0.017447678381048548,0.46350248058304916,True,0.7556016351908214
AB_N30,0,2.0,4165,1.8477590650018787,0.765366864645072,-0.2928932187999993,0.7071067811,5.353553389118645,0.386190542613308,0.03734911613943093,0.46948922824448275,True,0.8964860929806059
AB_N30,0,2.0,4604,1.8477590650401519,0.76536686473746,-0.7071067812000003,-0.2928932188000002,71.05203820064744,0.4400423906789329,0.04401402091336826,0.477108565576591,True,-0.6601627276640926
AB_N30,0,2.0,4723,1.847759065040149,0.76536686473746,0.29289321879999997,-0.7071067812,35.909902576139785,0.8702880313249998,0.07082676630241824,0.49078173946880405,True,-0.6784820291694312
AB_N30,0,2.0,4800,0.0,0.0,9.992007221626409e-16,2.220446049250313e-16,38.33452377856969,0.09198475769905878,0.003269900366847822,0.46761564468420225,True,-0.6601627276640926
