substrate,seed,threshold,n_walkers,n_near_loops,mean_perp_residue,median_perp_residue,std_perp_residue,mean_signed_perp_x,mean_signed_perp_y,mean_loop_area,median_loop_area,spearman_area_vs_residue,spearman_area_vs_residue_p,spearman_start_depth_vs_residue,spearman_min_depth_vs_residue,mean_residue_deep_start,mean_residue_shallow_start,mean_residue_visited_shallow,mean_residue_not_visited_shallow,spearman_pathlen_vs_residue,control
Penrose_N24,4,2.0,20000,119,1.0571051452991007,1.1755705045741416,0.5578247618018523,-0.04834696558571438,-0.06277054499663864,87.92672895439057,71.2559937452117,0.05081263986963712,0.5831397181911925,-0.3262026715432708,-0.14317322007789574,0.9339487663645822,1.1823489204867466,1.0571051452991007,,,real
Penrose_N24,4,3.0,20000,163,1.2244997291266857,1.175570504631771,0.6069728909060473,-0.07717501120245407,-0.1386554748625767,91.19468546853558,72.23355054344535,0.0957727875801707,0.2239344136618612,-0.3948031959235213,-0.14472223843855372,1.022199956110183,1.4292970302051207,1.2244997291266857,,,real
Penrose_N24,5,1.0,20000,17,0.38071387970528714,0.0,0.6863417072791209,-0.0657667052235298,0.09052010402941178,117.52157481105777,126.65429741476777,-0.06923344464803315,0.79175687650462,-0.04945246046288081,0.12205754890091146,0.3595631086179625,0.40450849717852744,0.38071387970528714,,,real
Penrose_N24,5,2.0,20000,115,1.0430040643788017,1.1755705045741416,0.574111946456922,-0.12076994625913037,-0.05111176106956514,115.05715672021921,99.87970181459787,-0.15520384242381322,0.09767203018996573,-0.2885605449673026,0.1356807494269427,0.948982466572094,1.1386751639014163,1.0430040643788017,,,real
Penrose_N24,5,3.0,20000,149,1.20931985127115,1.1755705046,0.6441202536375461,-0.0892508313845637,-0.07645928712684555,116.951970837804,100.01845908924594,-0.023171834413973722,0.7790909671564298,-0.332501566327183,0.14445623341218322,1.0418469194306639,1.3790559308392105,1.20931985127115,,,real
Penrose_N24,6,1.0,20000,23,0.7738423424360635,0.0,0.8082519663032184,-0.008303608943478376,-0.19095701380000019,87.87268597895607,54.06759781390065,-0.1576954872121858,0.47237418673935944,0.13524392632095933,-0.04172669133964476,0.8090169943785299,0.7354699948624641,0.7738423424360635,,,real
Penrose_N24,6,2.0,20000,138,1.0170213669143868,1.1755705045366651,0.5273787188901362,-0.13984328896231868,0.03144210691594198,108.74322469791353,84.71267018365033,-0.042568200095672935,0.6200782953863557,-0.22776994798384298,0.060278957732610154,0.9196135340064366,1.114429199822337,1.0170213669143868,,,real
Penrose_N24,6,3.0,20000,172,1.1661360149629825,1.1755705045741416,0.60350687340017,-0.14264210380465098,0.0720726212866279,105.60165238824477,82.76261769120875,-0.10011500533832803,0.19131214002849004,-0.33727645499350717,0.05787807320933127,0.9870471174142463,1.3452249125117184,1.1661360149629825,,,real
Penrose_N24,7,1.0,20000,20,0.6472135954986717,0.0,0.7926715317819085,-0.18680339886999997,-0.01816356319999991,100.50824970997353,77.01340023659588,0.038559972452841686,0.8717774992105495,-0.101969704930848,0.19773588408157733,0.4854101966284988,0.8090169943688446,0.6472135954986717,,,real
Penrose_N24,7,2.0,20000,124,1.0445234055403365,1.1755705045741416,0.5417584775447664,-0.1404549021395161,-0.07946445172338705,100.31201047230071,77.60431342348068,-0.04580850432156986,0.6134176052102687,-0.30861080774579114,0.1256549913656914,0.8645627713681789,1.2244840397124936,1.0445234055403365,,,real
