linger_steps,max_consecutive_linger,min_idx,excursion,start_depth,min_depth,final_residue,residue_at_min,substrate,seed,threshold
24,3,49,0.2948675887175074,0.34971748115387846,0.05484989243637106,1.4142135624,2.007345822598686,AB_N30,0,2.0
53,3,335,0.5096031541863518,0.5327160470916235,0.02311289290527163,0.76536686473746,1.6583777127548287,AB_N30,0,2.0
107,4,309,0.7447778806132379,0.7989319409156075,0.05415406030236958,0.76536686473746,1.6224880991364554,AB_N30,0,2.0
36,3,597,0.4114515103893466,0.4354677490142208,0.02401623862487423,0.76536686473746,0.7573593128,AB_N30,0,2.0
66,4,742,0.6143371603394289,0.6144734268645036,0.00013626652507470194,1.414213562373095,1.3137084989999999,AB_N30,0,2.0
16,1,670,0.2503835521390313,0.2845693732222504,0.0341858210832191,1.84775906504015,1.3098582949052027,AB_N30,0,2.0
48,4,413,0.4556440664010937,0.4814540295554236,0.02580996315432993,0.76536686473746,1.2661083604183523,AB_N30,0,2.0
9,1,116,0.20236238711289833,0.21318864393165393,0.010826256818755597,2.0,1.530733729382532,AB_N30,0,2.0
31,4,263,0.43457150088977614,0.46120248847398637,0.02663098758421023,1.84775906504015,2.2306082987188676,AB_N30,0,2.0
29,4,608,0.22523218210746565,0.27524825275529996,0.05001607064783431,1.84775906504015,2.393488795279333,AB_N30,0,2.0
14,1,35,0.2301609895747514,0.27197138157802503,0.04181039200327363,0.76536686473746,2.042442869498675,AB_N30,0,2.0
61,7,13,0.4283365129006572,0.4544126450318401,0.026076132131182872,0.76536686473746,2.23606797749979,AB_N30,0,2.0
57,3,555,0.4454045374623774,0.49836958725358727,0.05296504979120986,0.0,1.8311873248061625,AB_N30,0,2.0
35,6,508,0.28642707649039323,0.35336349461595273,0.0669364181255595,0.0,2.1283492494079175,AB_N30,0,2.0
34,1,317,0.48474845043504966,0.48474845043572534,6.756817327868703e-13,0.7653668647757282,1.4245831852211397,AB_N30,0,2.0
11,1,982,0.15746654539488347,0.20313788352446627,0.045671338129582795,1.4142135623730951,1.8747582845999373,AB_N30,0,2.0
104,4,207,0.7871074000012008,0.8198827323550366,0.032775332353835784,0.0,1.2661083603991878,AB_N30,0,2.0
72,4,298,0.6433360437666993,0.6978402918702336,0.05450424810353427,0.76536686473746,1.2278338449046386,AB_N30,0,2.0
48,3,724,0.5395601755255135,0.5764441028769602,0.036883927351446744,0.76536686473746,1.9729045241887284,AB_N30,0,2.0
31,3,210,0.38152593778817756,0.41550768979955177,0.03398175201137421,0.76536686473746,0.8870155379237614,AB_N30,0,2.0
24,1,96,0.3126233813602808,0.3336463612060512,0.021022979845770395,1.4142135623,1.1789092182258463,AB_N30,0,2.0
84,3,490,0.6611359266883545,0.7095332943345226,0.04839736764616809,0.76536686473746,1.1246934087307956,AB_N30,0,2.0
14,2,548,0.378152048825133,0.4021682874500072,0.02401623862487423,0.76536686473746,2.231740131836553,AB_N30,0,2.0
51,4,789,0.3438684952655606,0.40665973422125623,0.0627912389556956,1.4142135624,1.343145750551636,AB_N30,0,2.0
16,2,228,0.28217174652191934,0.2996194249029679,0.017447678381048548,0.76536686473746,0.990284815684085,AB_N30,0,2.0
15,1,796,0.2555325567805291,0.2812709859811727,0.02573842920064362,1.4142135624,1.5363559786208816,AB_N30,0,2.0
55,4,244,0.44434549473702056,0.4476153951038684,0.003269900366847822,1.4142135623730951,1.4348778703579983,AB_N30,0,2.0
86,3,451,0.625652002035159,0.6485509012360842,0.022898899200925138,0.76536686473746,0.9262096826393084,AB_N30,0,2.0
4,1,398,0.2326369447741431,0.2652892849593811,0.032652340185237994,1.4142135623,1.53635597859065,AB_N30,0,2.0
52,2,882,0.5212295627802268,0.5567846575920299,0.03555509481180308,0.765366864645072,1.2544294036496253,AB_N30,0,2.0
30,3,376,0.39905616064506355,0.4199784724201777,0.020922311775114166,1.84775906504015,1.9535183172899953,AB_N30,0,2.0
13,1,770,0.19283654126284488,0.24580159105405475,0.05296504979120986,0.76536686473746,1.811678560467319,AB_N30,0,2.0
50,3,597,0.5219808516337113,0.5252507520005592,0.003269900366847822,0.76536686473746,0.8801154785103381,AB_N30,0,2.0
35,2,651,0.4136907361669362,0.43218172444717373,0.01849098828023754,0.76536686473746,1.3950541676273502,AB_N30,0,2.0
