arm,patch,pair,history,seed,checkpoint,S_high,n_high,n_active,frac_active,headroom,total_weight,struct_access,eff_alt,bvisit_frac
regular,0,0,B,10,400,-4.00000,11.00000,112.00000,0.16970,4.48925,1219.17773,66.00000,854.03241,0.25250
regular,0,0,B,10,1000,-20.00000,31.00000,138.00000,0.20909,4.13405,1554.33596,67.00000,857.55861,0.20000
regular,0,0,B,10,2000,-44.00000,65.00000,216.00000,0.32727,3.68295,2110.82895,77.00000,931.45351,0.17900
regular,0,0,B,10,5000,-49.00000,187.00000,476.00000,0.72121,2.53036,4062.94971,94.00000,1632.33798,0.13980
regular,0,0,B,10,10000,-52.00000,335.00000,568.00000,0.86061,1.54827,5622.52977,106.00000,2935.15805,0.13050
regular,0,0,A,11,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,11,100,0.00000,3.00000,46.00000,0.06970,4.81653,876.95215,71.00000,1069.67452,0.00000
regular,0,0,A,11,200,0.00000,6.00000,70.00000,0.10606,4.71008,986.79138,79.00000,1407.29492,0.00000
regular,0,0,A,11,400,0.00000,15.00000,104.00000,0.15758,4.50322,1195.92688,80.00000,1796.16963,0.00000
regular,0,0,A,11,1000,0.00000,36.00000,162.00000,0.24545,4.07580,1649.03773,89.00000,1938.66158,0.11800
regular,0,0,A,11,2000,-1.00000,78.00000,276.00000,0.41818,3.46325,2463.18611,99.00000,2216.58824,0.06500
regular,0,0,A,11,5000,12.00000,190.00000,434.00000,0.65758,2.44851,4009.63156,102.00000,2790.09703,0.08800
regular,0,0,A,11,10000,-6.00000,330.00000,576.00000,0.87273,1.57519,5623.93774,107.00000,3250.75386,0.10550
regular,0,0,B,11,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,11,100,-1.00000,6.00000,38.00000,0.05758,4.83825,851.55957,69.00000,996.81722,0.00000
regular,0,0,B,11,200,-1.00000,9.00000,46.00000,0.06970,4.72851,942.17493,69.00000,1045.14560,0.00000
regular,0,0,B,11,400,-4.00000,18.00000,84.00000,0.12727,4.52245,1151.00775,78.00000,1617.56954,0.00000
regular,0,0,B,11,1000,-7.00000,34.00000,198.00000,0.30000,3.97809,1805.56172,95.00000,2132.79837,0.01600
regular,0,0,B,11,2000,-19.00000,87.00000,276.00000,0.41818,3.47367,2453.06188,103.00000,2620.25874,0.01950
regular,0,0,B,11,5000,-31.00000,199.00000,460.00000,0.69697,2.43907,4112.87629,105.00000,3249.49054,0.02940
regular,0,0,B,11,10000,-54.00000,340.00000,584.00000,0.88485,1.55656,5683.16251,107.00000,3557.66103,0.05890
regular,0,0,A,12,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,12,100,-2.00000,3.00000,52.00000,0.07879,4.76783,920.43262,63.00000,655.07817,0.00000
regular,0,0,A,12,200,-2.00000,9.00000,86.00000,0.13030,4.64615,1057.35742,75.00000,699.93918,0.00000
regular,0,0,A,12,400,-8.00000,18.00000,124.00000,0.18788,4.41461,1298.43359,81.00000,801.77325,0.05500
regular,0,0,A,12,1000,-27.00000,39.00000,168.00000,0.25455,4.09196,1646.63946,82.00000,801.83942,0.13400
regular,0,0,A,12,2000,-28.00000,70.00000,264.00000,0.40000,3.50451,2393.17059,95.00000,1384.20786,0.09650
regular,0,0,A,12,5000,-37.00000,192.00000,410.00000,0.62121,2.51653,3849.23919,105.00000,2632.96246,0.07820
